asin,reviewerID,reviewTime,reviewerName,reviews.title,reviews.text,reviews.rating
B006ATXEUS,A3LACA14E9P5MP,"06 18, 2014",Teresa Reinert,great,"Great great story, details were very well done. A constant movement within the lives of the characters. I recommend this one.Teresa ReinertWeatherford, TX",1
B008DVVLYW,A1S4NV9PWKZ36H,"08 16, 2013","Kathy A. McGhee ""Kat""",think twice before next purchase,Glad it was short.  I could not get interested in this book. I will think twice and read reviews before I purchase another by Lee Child,1
B00D1CPG5I,A3HG3JZ4KZHLCX,"05 4, 2014",Mom N,Vulgarity a problem,I don't read to be cussed at.  My dad taught me that use of 4-letter words shows a lack of vocabulariy.  Just couldn't overlook the vulgarity so gave up after a couple of chapters.,1
B00ITEMSQ8,A1JW0JFDK9V8EH,"04 23, 2014",Kindle Customer,Love in the office,"what the help ,I love the concept but really,you could have put all three books together,I can't even review it ,what I am saying is longer than book 2",1
B00DQGIHZ0,A3KWLE7H7QYUOJ,"02 4, 2014","leo clark ""bob""",lousy,I bought a warranty for my kindle when I filed a claim they said I bought wrong warranty and refused to honor it. You should read all the reviews before doing business with them.,1
B0086QIB8I,A11U1MY5AGZ3FW,"12 11, 2013",Amazon Customer,"nah, so so","could have been better. it was not as i thought that it would be. make so more twist in it and then it would be, maybe just ok.",1
B00AAQ3PHO,AU9TV06LZ8T0U,"12 5, 2012",Allenfarm,Pointless,"Disappointing and pointless, waste of time, not interesting in the slightest, nothing new to tell, expected. Could have been told in an extra paragraph at the end of the married book that came before it.",1
B00IHPPOZQ,A36IQRD3B5MK8G,"02 22, 2014","Judith Stephens ""Judith Stephens Miller got m...","Version #2 of a ripoff recipe book not done by this supposed ""author"".","Here we go again and again and again.This is another of the many ripoff recipe books done originally by &#34;Olivia Brown&#34; under fake copyright of 2013 and now this exact same thing, pictures and recipes included by &#34;Thomas V. Desilva&#34;. The cover photograph is exactly the same as well.  The only thing changed is the new fake author name.I would be willing to bet this is just another fake name from the same pilfering project done by a single person.  It is SO dishonest for Amazon to let this continue.Even if it's &#34;free&#34;, you can find more and better recipes for fruits where these thieves got theirs --  food.com.",1
B00EXF3HBW,AVHWY06KV3KQO,"03 1, 2014","P. A. Luntsford ""penni""",Save your time and money!,"First off, I have a very difficult time giving a book a one star. I believe that the author deserves just a bit of &#34;atta-boy&#34; for their effort. If this was not the case, I think this book would merit a 1/2 star. For me it was truly horrible and I couldn't finish it.At the beginning it looked like it was going to be an interesting read although a bit juvenile in dialog considering the ages of the main characters. Unfortunately, in less than half-way through I was ready to toss it. Finally, after another chapter or two, I did.The female &#34;lead&#34; in this story, if it can be called that, doesn't need a man . . . she needs a psychiatrist! And the central male character, supposedly in his late middle to early senior years, couldn't seem to get his mind away from sex. I guess he needed a psychiatrist as well. (not that older men aren't supposed to have an active libido)The &#34;Swear Jar&#34; made few appearances, but if it had of been the &#34;sex jar&#34; they would have been multi-millionaires. Once the central figures decided that they were interested in one another . . . let the sex begin, and begin, and begin! It was like a marathon and the story got lost in the sexual escapades. If it wasn't for the sex, there wouldn't be much left.I know this is beginning to sound like I am against sex -  not so, but when a story loses itself and becomes merely a prop for the sex, then it's not a story at all.The book was way too long and unless you prefer repeated (did I say repeated?) sexual escapades, there just wasn't enough story to hold any interest.Sorry, save your money and time.",1
B00BAKON8O,A14VCKIBY5HX31,"02 10, 2013",Amazon Customer,Stupid,"I love romance and sometimes short stories. But this one was not good at all. I liked the story line but it was told on first person. There may have been a whole chapter of character talking. It was hard to follow. I think of it was told ""normal"" and more to the story it could of been better.",1
B00EBYSRME,A2JGN6LA5LPRM2,"08 21, 2013",Rebecca,I'm not an expert...,"Not my favourite read, probably fine for some but the writing and plot used just didn't have me interested at all.",1
B0071Q277K,A29TSW2VAFK7XU,"03 15, 2013",Winston1960,Never finished!!!,I read about 1/2 of this book and never cared to finish it.  It was just bad all the way around.  I did not care for the people and the story was weird.  The interaction between the 2 partners was just unrealistic...save your .99 cents,1
B008AD8TFW,AS0TS4PMABFNU,"08 21, 2012","Doris P. Austin ""book-a-day""",Awful book,"The 1st book was free.  IT DID NOT END.  Bought 2nd one.  Same.  These 3 books should have been 1.  UGLY sexualy scenes.  WOULD like to know what happens to Kat, but will NOT spend a penny on this author.  Book leaves you with a bad feeling.  WASTED MY TIME & MONEY!",1
B00G2J7DXK,AYZQB1IDVQYKA,"07 11, 2014",Mari,Macyn's Letter,To slacker.  You are aptly named.  I. hate that you didn't finish your book and left it hanging in the air.  The fact that Macyn was going out on her own made no sense.  I'm sorry I read your book!,1
B00DDZHQRO,AH07AY30B2TWI,"07 21, 2013",Collector,Acute Depression,After reading this story I feel as though I now understand why the Columbine High School shootings occurred.  I have never before encountered a story as depressing as this.  Or as confusing.  The author takes us back and forth between the real time story and the rambling thought processes of an eighteen year old high school student who is despised by almost everyone in town without delineating the beginning or end of either sequence.  The confusion is only compounded when you encounter the missing word or incorrect verb tense.  I think the only reason I finished it was because I was hoping (fruitlessly) to find a reason for the story and resolution of all that depression.,1
B004M5HHIM,A26E7TINA0EZ4Y,"05 30, 2012",E. Bartholomew,"Of vanilla envelopes, estasy and other errors......Please get an Editor!","Well, I really don't know where to begin. I have to honestly say this has to be one of the worst books I have ever read as far as spelling, grammar and continuity error's are concerned. There were so many error's on each and every page that the story got lost in the errors. The thing that is so unfortunate about this is that the story had so much potential, but I honestly think the author should be ashamed to charge people for this book in it's current format.  With all these error's even .99 cents is too much to pay for it.BTW.....It's a manila envelope not a vanilla envelope.",1
B002TLTM8O,A1OERUD1G9TYWE,"03 22, 2013",Amazon Customer,Not a Fan of this,"Not my style, probably should have read what it was about before downloading. But hey, maybe it's someone else's fun read so go for it.",1
B00D3OB9U0,A33YVMLKHRCBI0,"08 11, 2013",Themist,What a waste of time,"5 stars? You must be kidding. These books are nothing short of painful. They make little sense, the characters are mainly on the dumb and mean side. High school girls are chopping people's heads off with alarming regularity - but guess what? They get their heads back. Most of the time. The main problem is that the books are repetitive as hell with an obnoxious, self-centered main character who instead of saving the people she pledged to help, drones on and on about her quasi-boyfriend's blue eyes. BO-ring. There are about 80 plot lines that go nowhere. Looming threats are undelivered upon, so who cares? Skyla is supposed to be the purest, strongest angel on earth, yet somehow she is continually overpowered and defeated while acting like an idiot. Her teen voice vacillates between insipid and overly verbose. Just annoying. Addison Moore has created a machine she can continue to capitalize on by dangling resolutions that never come. There are so many better series out there - don't waste your time.",1
B00FP701U2,ABK7D58JRWCLW,"12 9, 2013",Hi4,Just shaking my head,"I picked the wrong book to read.  OMG.  Come on women and men do not act like this. Are women really this lowdown.  Miss I need a friend and will do whatever her roommate tells her.  This is only a book , but I sure hope there are not people like these in the real world.",1
B00887PB6K,A1BT00QV4RAOY2,"07 11, 2012",Amazon Customer,Couldn't finish,"I REALLY wanted to like this book, but the writing was extremely hard to accept.  It was stilted and awkward and leaned toward the confusing in that you'd finish a sentence and have to consciously think about what they were trying to say.  Conversations were choppy and I just couldn't see the story for the words.",1
B005GF314G,A2ZVB1IL012A79,"10 23, 2013",John,Sappy love story,I feel deceived.  The book promises something akin to a military thriller but supplies a sappy love story.  I will not read another book by this author..,1
B00CKVT5W6,AP3UNMQ4PQ87Y,"01 29, 2014",Catrina,Worth the free price that I paid for it!,"This very small book had no information in there that cannot be provided within seconds if  googled on the web. Also, verify any information that you might consider using for decision-making with other professional sources prior to doing so to ensure your health.",1
B00CCEE52G,A2C8S6EB6MKYAX,"11 4, 2013",Paula,wasn't for me,This book is for 18 and older. This book was very short. It didn't have much of a story line or plot. It also had very little romance. I guess I'm just not into the bdsm books...,1
B00B15HWXG,AN3EF6S1YFHPT,"03 9, 2014",The Bionic Stan,Got it for free and still feel cheated,"This was a free Kindle book of the day when I downloaded it to my Kindle Fire HDX, and still I overpaid.I knew it would be short, but at 22 pages I thought it would be a story. It wasn't -- not even an episode with a cliffhanger.  It just runs for a few pages and stops in mid scene.It looks like the art work would probably be good, if I could see it better.  The pages (what few there are of them) insist on showing in landscape mode, not portrait.  Each page is three panels, and I can't tell but it sure looks like the top and bottom panels are cut off.Supposedly you can double-tap to zoom.  That worked sometimes, not others.  But even when it worked, I just got a blow-up of a small part of the screen, not necessarily where I double-tapped.  Why not show an enlargement of the panel that I tapped into?  That might be some use, but nooooooooo.I see other reviewers are blaming Amazon for this.  That's silly. The publisher, DC Comics, is responsible for formatting and pricing.  I can't tell for sure, but from the titles it looks like the actual story has been chopped into 36 of these little snippets -- at 99 cents a pop.  Almost $36 for a digital comic book?  What are they thinking?If you're a committed fan, have money to burn, and don't mind not being able to see the art work comfortably, you might like this.  Otherwise, steer clear.",1
B00AE01M5S,A21T5M3YADNCM0,"03 9, 2013",Amazon Customer,eh,"I wouldn't say it is a bad book, but I didn't enjoy it at all.  Characters were bland and I didn't really like the story at all",1
B00AGA4UGY,A25CSYWBUTQ81H,"03 14, 2013",bear,An Inside Look at Making Sausage,"I have nothing against homosexuality, but I'm sure I wouldn't like to watch a congessional sub-commitee in session either.  Sudder.",1
B00KGREQZW,ABEK1Q70KABM3,"05 28, 2014",Kat,Horrible...is this the same author,"I love the Up In The Air series and Tristan and Danika's story which is why I took a chance on The Wild Side, but this book is horrible. Alasdair is weak and unsure of himself. I prefer an alpha male. The story line was weak and unbelievable. I will not read the next book in this series.",1
B00B486QC8,AK71U53DHZTYQ,"01 12, 2014",ev,"routine use of ""f"" word",I only got to chapter 2 when I decided the f bomb was going to be routine language for this book..... Not for me.,1
B00B3DGLR4,A9SRU0ZQDY0AQ,"02 15, 2013","Kindlefan ""US Kindlefan""",I am not interested in rest of story,I would call it a cheep pornography instead of erotic novel. Weakest shade of 50 shades of Grey? Something like that. Or maybe this novel could be written for men.....still glad that was a short story.,1
B00IDWEJ40,A20VK7GSA3F93L,"06 3, 2014",Lovemma,The Publicist Book One and Two,"DNF. Got through the first 10 pages, and thought to myself, what the heck is this? Thought it was lame in those 10 pages. Too much happened, stupid drama.",1
B004LB499W,A34WXU0IG2C3I6,"05 5, 2012",Amazon Customer,Poorly written.,"If I didn't know this author is a published professional I would think this was her first story.  Perhaps is was the first she ever wrote. It is trite, lame and pretty cheesy.  I  have loved some of her works  in the past but this doesn't measure up.",1
B00ALGQA98,A1XT5A03JSH3KX,"12 25, 2012",SLB0320,where is the whole story??,"I've bought this book due to the positive reviews and when I began reading it, the story did not connect meaning half of the story was missing before it jumped to a different line. I even minimized my font thinking that might of been the problem but to no avail. The story was still missing bits and pieces which made it hard for me to try to connect the dots. It was really frustrating trying to read the story and I didn't bother to finish the book. I went ahead and got my 99cent refund. I wouldn't recommend this book to anyone unless you like trying to figure out the story on your own.",1
B009Y64T94,A2R7C9H41T6W9S,"02 17, 2013",BookChick,Wild Cats,"Sadly, I cannot rate this book higher than one star. It was very chaotic in its story telling and felt as if several fragments had been strung together to construct a story -- fragments that were sketchy and jagged.The poor editing also did nothing to help the story. The tense shifts (in the same sentence) were extremely distracting and even more negatively impacted the haphazard flow of the story.And finally, the story just ended -- not concluded -- to spur the reader into buying the next book, The Taming, in the series. But honestly, this book had so many issues that I could not see myself spending $2.99 on the next book. This one was a freebie so no harm done.",1
B0048EJUK0,A2R7C9H41T6W9S,"07 30, 2011",BookChick,Clearly it's just me...,"I have read the other reviews and clearly am in the minority when I say this story sucked. A former werewolf bounty hunter, who was the progeny of a werewolf bounty hunter, becomes a werewolf himself. The story never mentions gramps trying to kill hus grandson so it was just odd that the author kept mentioning his lineage. Lucy made my teeth hurt. One minute she was a vixen and the next a victim running from a werewolf through the woods. Justina's ex being a werewolf was a totally random an unecessary plot twist. The author could have informed the reader about Oz being an assassin a different way. All in all it was a waste of mo ey for me.",1
B00KBDEU0W,A2CIMZEYH6KMZC,"07 9, 2014",d.sunny,One Star,I think the book took to long to get into the characters.,1
B00CXADBS8,A3BFDEBT5IV4UN,"10 25, 2013","Dianne E. Socci-Tetro ""Never Judge a Book by ...",I tried - I really really did!,"I really tried to get this onto my Paperwhite. It was impossible. After trying for a half hour to get it on the way the directions said (yes there are directions with this product) I thought perhaps my item was mislabeled and I even tried to put it on the opposite way the directions advised.It slipped, it slid, it kept peeling off and it would not adhere to the screen. I ended up inadvertently scratching the plastic with my nail.I have never had an issue with smudges (well maybe when I eat Cheetos when I read!) scratches or any other type of problem with my Paperwhite screen. In my opinion, this is NOT a product you need to keep your Kindle from damage, especially if you are using a cover.",1
B006BGZJJ4,A36GMK49X0KLXF,"02 5, 2014",Amazon Customer,I regret buying this cord!,"The previous USB cable for my Kindle with keyboard had bit the dust. The casing for the wires had started to pull away from the plus and it would not securely charge my Kindle anymore. I needed a replacement and fast since my Kindle goes with me everywhere. This cord, when received is useless. The micro usb clips are non-existent so when I do plug it into my kindle or my phone, it does nothing but wiggle. It easily falls out without even being touched. It was the biggest waste of money. Anything I have tried to use the cable with has had the same problem.",1
B005UY43EA,ANZ9ALM3D3WG1,"02 21, 2012",Ruth,Confused.com,"This was a freebie and so I thought I'd give it a go.This appears to be a prequel to Rex Rising which I have not read which could be why I was so lost and confused.But then again it was a prequel so surely that should entice you to discover more about the story.I don't know, like I said I'm confused and my head hurts a little.I have Rex Rising already downloaded as it too was free so maybe I'll give it a go and then reread this and it may all make perfect sense.",1
B0099GXU4Y,A3H3AA0EZYX6UP,"06 5, 2014",KSR,Still not good,"Not sure how there are so many books in this series.  I read 1st book, skipped #2 and read this one.  I also have #4 but won't be reading it.  The writing is horrible.  Conversations choppy and unrealistic is the best I can do at describing them right now.  Reminded me of an elementary school play with no emotion in the dialog.  Sorry but not good in my opinion.",1
B005LVV6DI,A2K1171X4SIW61,"05 13, 2014",Anna,not intriguing at all,"Bought this book originally because it looked fairly interesting. Once I actually started reading it though, my interest dissipated quickly. It's actually the only e-book I've bought that I have really wanted to return.",1
B00I545VUC,A3ID3W4KBISXMN,"04 28, 2014",Everyday I'm Reading,NOPE! NOPE! NOPE!,Just don't do it. I made it three pages in and stopped. It is sitting in the library on my kindle and that is where it will stay. I couldn't follow everything.,1
B00A8S22OQ,A1PRXYVNVRA9ER,"03 22, 2014",mandy2,disappointed,No sex at all in book. First book to others was disappointed. Good set up but not even a first kiss,1
B00APRWY9I,A1WVTWOOTP4CZN,"06 23, 2014",Estrella,Disliked this book!,"Okay  the love triangle was okay at one point until then made Gao an alpha look desperate, weak and just getting disrespected by David. I just had enough. If there is another book I would not waste my money.",1
B007W5CP9K,A2W0Y3AR4Y0ZSR,"09 1, 2012",Tasha,boring,"I usually like books with not much going on, but for some reason I could not get into this book.  I get why other people might have gave it five stars.  It just wasn't for me. It was just really boring.  I misread the description. I thought she was still blind but she wasn't so I started the book disappointed.",1
B005C5YZ86,A1TW9TAWXR4MJ4,"04 7, 2013",Tracy Rodriguez,Hell no!,If a guy ever left me and tried to get back to my life with a simple sorry?...uh no...I would have dropped his ass faster then a hot potato.  And then demands to know why he was not told of his child? When he knows very well that he was the one that left her? I'm sorry but I couldn't finish this book...it was just too much for me to digestion,1
B00CG69E0I,A26TDJE8EV8FKP,"02 12, 2014",thisisjoey,Ugh.,"Rare for me to not finish a book.  Usually even if I don't like it I try to get to the end and pray it gets better.  I disliked this book so much I did not care if it got better.  Hard to follow.  Characters dropped into the story without much of an introduction.  And as at least one other reviewer stated the language was stilted, it was if it had been translated into English.  (I read Willow Rose's bio and could find no evidence that English would not be her first language.)  Not even sure if a good editing could help this.  I only made it to 25% before I gave up.",1
B000GFK7L6,A9FVWRHMM550F,"11 3, 2009","Amazon Customer ""EmanEkaf""",what time do i get today's paper?,"i thought the n.y. times was a morning daily.  i'm on the west coast.  in new york, it's nearly noon.  i haven't received today's paper yet.  i left wireless on all night, and have been reading other kindle content all morning.  is this standard?",1
B00930CIVC,A1KRYEH6EDGQ6E,"01 9, 2014","Mya ""Myasworld""",Profanity from the beginning............could not read through.,I was hoping the story would have been a weekend entertaiment.  I could not get passed the third paragraph due to the level of profanity.  Not worth it.,1
B00CLJ0I7I,A17982WAHMCCUC,"03 16, 2014",tFlipper,Not enough,I felt like I was reading an article instead of a book. There wasn't enough depth to it for me.,1
B00F267KUK,AMEIUA8PJRM7X,"09 14, 2013",Wtf,Don't bother,"Not very good. Story is rushed without much plot. Simplistic writing gives this a juvenile feel to it. I skimmed through most of the book without losing what was going on when I did stop to read a bit. Characters are very one dimensional and I could have cared less what happened to them. Overall, this is boring, uninspired and a waste of time and money.",1
B00GEFNH2S,A27A8EQHK46YVD,"03 27, 2014","Romance Lover ""Erotica Queen""",Wrong Category,"This book should almost be listed under male/male. It was too much, but to eaches own. I'd just like to be aware of what I'm purchasing so that I can decide if it's what I want to read. The description of this book is misleading!! I am certainly not interested in a part 2, 3 or 4!",1
B00I7IWAQ4,AEINEIQ5HA026,"02 12, 2014",Amazon Customer,turned off,I looked at the table of contents and what caught my eye was a preview for an upcoming book to eliminate procrastination forever and increase productivity. Well why the F$&@$ would I waste my time reading this book if the next one is better. These marketers I'll tell you....,1
B0092MPU20,A2JVQ0QSQRK8RC,"09 28, 2013",Karin Hurt,Men out of uniform,"I don't know why I could not get into this book, by the time I read 24 percent of it I was yawning o I stopped reading",1
B006MWY93E,A2CBOVOOK3Q6D4,"01 30, 2013",Kindle Customer,No feeling for this,It was very short and not enough to make me feel anything for these characters. You really don't even feel their connection to each other. I just didn't care for this story.,1
B0078T6YHY,A32AUTWA8MM81K,"09 8, 2013","CiCi J ""CiCi J""",No thanks,This work should not be put in the category that it is put into. It is NOT CLEAN!  And I wish there were better filters or standards.  No thanks,1
B00HTM7UDM,A39WYE2YM9GPX4,"01 21, 2014",Did not like how it ended,Waste of time and money,This whole book is cat and mouse fighting.  Then it abruptly end as with a cliffhanger.  What a mess.  I had to step away a few times this is not a Romance unless you like to read back and forth bickering throughout the entire book.,1
B004YWKEKQ,A1D1UDU16M47LX,"06 5, 2011",L. Payne,Terrible!  Awful!  Painful!,"I have never given a book a one star review. That was generous for this drival. How this ever received positive reviews is boggeling. It was painful to read three chapters and not wonder at the age of the author and thinking maybe this was a grade school project. I could not even finish.  My 13 year old writes better stories and with less repeating of the same line and phrase again and again.  The reviews that rate this book good HAVE to be friends of the author and trying to boost her up, or else this was meant for grade school.",1
B00E3HLE6K,AA1UMDOV44T2Q,"07 24, 2013",tory's romance,Too much going on...,This book had too many stories with a lot information that we did not need to know. I thought this book was about Nevaeh and Josh but got little information on how their relationship develop. I know you need to give a backstory but this was too much.,1
B00ASB6N9I,A2VDFOOF4LLNO7,"02 24, 2013",ellen carozza,Could not even finish the book,I could not even finish it. I'm glad I caught this one in the freebies zone.This is yet another version of 50 shades but with a realtor that finds out the man selling the house is a DOM with a dungeon in a tower.,1
B0058EU1Z2,AQMHRKSLTNBQJ,"02 22, 2013",Kiwi,Started off ok,The storyline started off ok but the writing was rather stilted and didn't flow well. As the book progressed this became rather irritating as the characters' conversations weren't natural. The speed of the relationship development between Savanna and Jason just wasn't believable and the love scenes were poorly written. I struggled to finish this book.,1
B007KSK0KU,A2NVKBPYYCUZ2Q,"02 1, 2014",R. Miller,Don't waste your time.,"When this guy says shuckabuck, he means he's ripped you off for a buck for this poor, out of date, useless sales brochure. Sad to say a dollar isn't much to lose these days, but one thing of value will lose is your time. If you go to his websites, you might even lose more. He recommends Host Gator. I take that as a warning to stay away from it. He might even own it.",1
B00AHW1VW2,A2IJXV1UQ11TDY,"01 15, 2014",MoH,Poorly written creepy thriller with a Stepford twist,"British couple Michael and Emily Torrance move to an idyllic gated Mayberry-themed town called Eden, an improbable oasis in the American Southwest. But nothing is as it seems. Story itself is fantastical--a tale cribbed from Stephen King thriller meets Stepford Wives with a little Rosemary's Baby sprinkled in for seasoning. By the time I got to the end of the story, I felt duped.Technically, the writing is a dog's breakfast of poor sentence structure, garbled grammatical conundrums, and repetitious words. Matt Drabble seems to be writing in phonetic English: he uses ""would of"" when he should have written ""would've."" Other reviewers mentioned his use of: ""for all intensive purposes"" instead of  ""for all intents and purposes."" My ESL friend would dub Drabble's rabble as being functionally literate, and nothing more.Most irksome is that Drabble is so out of touch with the language across the pond, that he had American characters speaking in UK English idioms. I'm sorry, but we Yanks just don't say ""jumpers"" for sweaters (an idiom lost in translation), or ""torch"" for flashlight, or ""lorry"" for truck. It's one thing to have the narrator of the story speaking in British idioms, but the quoted dialogue of American characters should convey the language of the country it represents.I agree with the reviewer who wrote that this book is in need of serious editing, I don't think it was edited, ever. Another reviewer didn't mind the typos, because he liked the story. A third reviewer wrote: ""Who does the editing, keyboarding, punctuation, and proofing for these ebooks, anyway? I am tired of having to decipher text."" For those of us with dyslexia, those pesky typos and errors are not just distracting, they throw us out of the story. Sort of like tossing the baby out with the bathwater.Minus one star.",1
B00CDU1H98,A1OQFWWW8KP18T,"12 5, 2013",jtq,No serious analysis,"This writer raises some interesting questions, but has nothing but gobblydegook for answers. Hopefully there will be scholars who will write about, for example, the apex social role of the pretty girl, the huge differences in behavioral norms between generations, the powerful stifling of incorrect dialogue or expression.",1
B00ELOHJ64,ARP7RFS0DPP8P,"09 29, 2013",eBook Addict,This was about a Navy Seal? I don't think so...,"This review is intended to cover the two stories in this series: ""Owned by the Navy Seal"" and ""Taken by the Navy Seal (Part 2) (Owned by the Navy Seal)"". I purchased them together, as the first story was $0.99 and the second story was a free download. The outlay being less than a dollar, I didn't think I could go too wrong.Well, I guess it says something when I note that I decided to return the 99c item and I've deleted the free one from my library.So, what actually managed to go wrong?1. I like my military men. Go through my reviews and you'll find plenty of hot, alpha, military guys scattered throughout. So, the Navy Seal angle was pretty much the headlining attraction for me in this story.  Imagine my surprise then, when the hero turns out to be in construction and has no connection to the military other than the briefest mention, at the beginning of the story, that he was a retired Navy Seal. That's it. No back story, no military buddies that he hangs with, no flashbacks...zilch. I have nothing against construction workers, but when a story is listed under 'Miltary Romances on Kindle', I have certain expectations that, in this case, weren't met.2. The first story is incredibly brief - no real harm done when you consider the second is free. However, even when you put both stories together, nothing really happens in the lives of the main characters. Well, other than a few heated couplings. If it was true erotica, that would be enough, I guess. But there's nothing erotic about what these two are up to. The sexual tension is virtually non-existent and the description of their horizontal activities is hardly inspiring. There is the odd use of words such as 'slurping' and apparently they experience sounds and moments of 'pure pleasure'. Whatever... Sommer Marsden, Cara McKenna this author is not.3. The overall writing is not technically terrible, but nor is it particularly engaging. There are a few grammatical errors - such as the incorrect use of the word, 'whom' - however, it's the lack of character development, the boring dialogue and the plot without any real direction that makes it a tiresome read.4. The real clincher (and probably why I've been a bit harsh) in all this, is the unnecessary (and, frankly, mystifying) swipe that this author takes at another author's work in the second novel. She has two characters discuss, at length, the erotic trilogy written by another writer and, in short, completely pans the work. It doesn't take too much imagination to figure out which trilogy she is flexing her claws at. And, given that other author has made millions and secured a lucrative movie deal, whereas Ms North couldn't even keep my 99c...well, enough said.Didn't like it, wouldn't recommend it.",1
B00CULT1X4,A2I7APDCX6XEAL,"05 19, 2013",ChinaRose,What a DISAPPOINTMENT!,"I Love the Samantha Moon Moon series and even enjoyed most of the novellas, BUT this ""Novella"" is barely 14-pages (font on Kindle set at ""4"").  I feel incredibly ripped off!!!The story is basically Samantha replaying a 10-minute encounter at her local Starbucks.  It took me less time to read the entire story!I'm kicking myself for a waste of $2.99, the story isn't long enough to be  99 Novella!  It's barely even a chapter of reading material. The stories after ""Blue Moon"" were longer than the premiere story!This is the first time I've rated anything lower than a 3-Star, but even 1-Star is too much!  Not to mention, giving J.R. Rain, a favored author, a very bad review.  I'm just so very disappointed!",1
B00CG3N2E0,A1FMGA5AED6EE5,"05 23, 2014",RandyMorrison,Marketing!,"Another marketing pamphlet that wants you to join some program right on page 1. The title is misleading, as there is nothing &#34;top&#34; about these recipes, which don't even give you serving sizes. This is just another marketer's booklet, thrown together by some poor dude in the Philippines.If you want quinoa recipes, you can do better.",1
